V1,V2,V3,V4
-0.019987814,0.028283674,-0.335937004,-0.115264468
-0.008283142,0.023861484,-0.178044039,0.119368946
-0.012325816,0.12848287,-0.069113324,0.082378969
-0.35110198,0.117415599,-0.120613666,-0.004393992
-0.062182255,0.910024073,-0.503242238,-0.020903893
-0.010312265,0.026726871,-0.556304812,0.30207006
-0.028682128,0.025758142,-0.282887819,0.564038675
0.02159919,0.05027189,-0.135031755,0.538711954
0.530006671,0.036372217,-0.052410832,0.401523678
0.078624041,-0.106809768,-0.00275894,0.404860666
0.046691028,0.23892528,0.184015249,-0.173831391
0.612355557,0.192231603,0.117992309,0.19210794
0.095816402,0.542759718,0.063982429,0.120655969
0.38091374,0.436282365,0.443029196,-0.024817388
-0.0184454,0.277663312,0.255950222,0.267581089
-0.002903247,0.113653912,-0.165052579,0.307502956
0.218058465,-0.004071898,-0.127109815,0.249845237
0.062065333,-0.066652745,-0.064265754,0.94461102
0.008904566,-0.079195961,0.402607367,0.451492898
0.078676032,-0.239608829,0.691773905,-0.427002472
0.016792879,-0.231047577,0.053472743,1.801687509
0.01617659,-0.194596018,0.054900412,1.215197835
-0.002162929,-0.170486539,-0.316562952,0.796964689
0.00059981,-0.117046664,-0.14121834,0.824561079
0.003628063,-0.099506863,-0.034497266,0.589060576
-0.011846999,-0.08566277,-0.015653331,0.201810445
-0.916962293,3.820343829,-0.00812085,0.013060713
-0.131565467,3.464723645,-0.00564055,0.14818661
1.461096027,2.962778174,-0.276264283,0.242379594
-1.698384621,2.193308714,-0.182862482,0.550217615
-0.319754077,2.152526284,0.330300665,0.68784205
-0.047033148,1.595731125,-0.43741618,1.080532281
-0.004792047,1.370285782,-0.240152364,1.195174688
0.143779199,1.166865437,-0.366554449,1.060359564
0.133886681,0.933786336,-0.171850547,0.318277448
0.240839357,0.845896186,-0.000616377,0.759610125
0.302755458,1.758240987,0.058558662,0.461500913
0.015132151,1.397519869,0.123449984,0.784218057
0.002152422,1.180781791,-0.370487065,0.643317328
-0.012184001,1.005995242,0.147305763,-3.742315638
0.006564717,0.859926645,0.041182078,-4.106995035
-0.004366312,0.765433189,0.103124303,-3.007390212
-0.079274996,0.657595453,-0.208604145,-2.163813187
0.693382659,0.571542402,-0.094438747,-1.48603025
0.099104185,0.438247462,-0.091527078,-1.073863869
-0.011845272,0.442912164,0.225547925,-0.386287044
0.054405852,0.246355663,0.157823791,-0.296699219
-0.169721964,0.234543919,0.143718355,-0.193216392
-0.037098375,0.245822914,0.090071217,-0.463055766
-0.039902963,0.195880322,-0.023161419,-0.377370737
-0.775243528,0.073672837,-0.031382597,-0.388598975
-1.984248957,0.221861162,-0.031348669,-0.489437212
-0.284596723,0.083269726,-0.325738461,-1.812038763
-0.069070503,-0.055659135,-0.354589025,-0.371220262
-0.038879182,-0.03301787,-0.298298909,-0.057633678
0.03996152,-0.01356525,-0.171371285,0.110305814
-0.066927244,-0.02946401,-0.095571374,0.08038451
0.476206106,0.049720564,-0.164762021,0.043676188
-0.420696621,0.010748178,-0.344820728,0.076945921
-2.239979192,0.190597163,0.131686089,0.248854657
-0.322410543,1.076552678,0.004019288,0.201090617
-0.039962183,0.918955588,-0.410544772,0.085701989
0.451453323,0.818915429,-0.806039556,0.354596598
0.052709798,1.147608126,-0.389079576,1.021048048
