V1,V2,V3,V4
-1.426267259,0.037734222,-0.012854737,0.188877815
1.403284053,0.26152519,0.582042636,-0.129965081
-0.98424936,-0.015938412,-1.081170645,0.721769818
0.89313149,0.724777529,-0.133401731,-0.980036308
-0.899366186,0.012639828,0.216155689,1.170492894
0.885450817,0.626637786,0.322956156,-0.495151993
-0.874690153,-0.08853689,-0.094086606,1.140201645
0.690821308,0.42034329,0.187396994,-1.137938393
-0.680485424,0.21798605,-0.063044154,1.471133236
0.664836874,0.28134711,0.097744181,-0.959922179
-0.632085045,-3.15457903,-0.153897648,1.051324734
0.160441505,0.878114011,0.121072469,-1.010059182
-0.192167624,0.275453904,-0.14510568,1.648561363
0.341693298,0.356611959,0.076768208,-1.229516359
0.304563856,0.425249132,-0.061819685,1.355175239
-0.644730505,0.484398112,0.572357591,-0.816262006
0.661096223,0.202946121,0.315921441,1.385259125
-0.744676575,0.315820132,-0.057140381,-0.878228797
0.669697995,0.245022982,0.19554234,1.054512283
-0.725122419,0.31327972,-0.124941849,0.030405779
0.705828361,0.244078982,0.07483618,0.175711206
-0.595453561,0.299737275,0.057834987,0.481819931
0.621961822,0.204303625,-0.080703056,-0.116907269
-0.611861268,1.465281159,-0.196732305,0.244332367
0.597149583,-0.187367398,0.109076508,0.597484294
-0.587471835,0.311854236,-0.139930298,-0.656042864
0.577832067,0.303412159,0.470692212,0.678067547
-0.518589608,0.329567229,-0.268835603,-0.083622353
0.48499275,0.311439213,0.055558936,0.400636192
-0.477132707,-0.052073972,0.402615601,1.012908002
0.469296787,0.484906674,0.30954062,-0.859912217
-0.461705409,0.290954725,0.109772976,1.357018887
0.455770627,0.792598936,0.157602704,-0.853483525
-0.447611902,0.157767766,0.087791396,1.69519071
0.678203734,1.102005205,0.169261574,-1.24695014
-0.667277949,-0.122112484,-0.817454828,1.864396875
1.03722506,0.46411013,-0.795962757,-2.078855772
-1.023276339,0.094850237,-0.494223558,1.836241275
0.995789407,1.207955189,0.112048827,-1.755958981
-0.979548849,-0.277470602,-0.202363095,2.410397899
0.968164212,0.36358333,0.164151521,-2.401955708
-0.950513759,0.139210195,1.31307199,2.255120143
1.150759767,0.245822135,0.705019067,-1.488414235
-0.984211515,0.099822516,0.007544838,1.920038377
0.980348474,0.195418085,0.256838242,-1.43778634
-0.968265098,0.204672046,-0.133191471,1.3201763
0.952470991,0.207429424,0.186722818,-1.050584477
-0.654681039,-0.67945908,-0.164265473,1.190556445
0.645154021,0.676340477,-0.098519338,-3.027184595
-0.859905657,0.898913879,-0.22027619,2.937609946
0.813180698,0.001920531,0.078438363,-1.860734992
-0.819263141,0.285929818,1.237435611,1.629773811
0.958949619,0.358856524,0.693266879,0.861735982
-0.943531407,-0.256807495,0.01761917,-0.110107682
2.082721218,0.396339843,0.113639397,-0.14228561
-2.020657367,-0.427380292,-0.189122821,0.552547099
1.988103858,-0.159170261,0.246874943,-1.270850525
-1.964154833,-0.128131676,-0.114905177,1.055310836
2.024206465,-0.156456404,0.242600867,-1.051153656
-1.992795754,-0.150021428,0.278816411,0.903427742
1.904526605,-0.288791482,0.414135343,-0.765336689
-1.855322876,-0.07286541,-0.137841616,0.609290688
1.825254671,0.737699662,0.286300773,-0.656255519
-1.627556377,-0.559839491,-3.294027645,1.753802699
1.601139419,-0.093988785,-0.941588443,-2.393869809
-3.913790438,0.025788084,-0.432509111,2.200261945
3.899546701,-0.412605406,-0.038286692,-2.876736971
-4.498423131,-0.16788745,-0.331862824,2.071496523
4.789861275,-0.017666545,0.017055225,-2.082875101
-4.108020086,0.048948685,-0.43541327,1.770819586
4.033656021,-0.317497995,0.105743641,-1.811356111
-4.126279679,-0.188214762,-0.275344786,2.517780043
3.786723734,-0.370462266,0.2190723,-2.456150001
-3.658899019,-0.255516269,-0.271134743,1.865225362
3.598775142,-0.175151981,0.210947054,-1.85872417
-3.561874711,-0.391369323,-0.241524202,1.55634254
3.502706614,-0.293974389,0.141301513,-1.713266767
-2.534951882,-0.257737775,-0.248402723,1.337313218
2.498044296,-0.605657808,0.786435002,-1.492954727
-2.416089052,-0.152982242,0.147500842,0.987943689
2.423825553,-0.510652976,0.36967649,-0.848492614
-2.278914897,-0.167692754,-0.378081845,0.471487097
2.361539236,-0.360213858,0.261305169,-0.746765362
-2.359128481,-0.214268579,-0.495031928,0.445545688
2.319898665,-0.463522649,0.367220206,-0.852564169
-2.326330552,-0.152242491,-0.191983682,0.501669864
2.252661418,-0.108830712,0.981451116,-0.658000332
-2.067410497,-0.279190962,0.070712636,0.85002288
2.021272743,-0.111475644,-0.030785922,-0.887698088
-1.988564441,-0.193019418,-0.658648377,0.627593417
1.923080397,-0.92934784,0.330911299,-1.407209895
-1.912809172,0.543276136,-0.403669362,1.141927349
1.930783829,-0.147287666,-0.325200139,-1.378349144
-1.908330135,-0.118724324,-0.429054178,0.869295291
1.866196261,-0.699044296,0.135885094,-1.033037763
-1.823928604,0.143303826,-0.400656839,0.395837331
1.806905569,-0.192793622,0.162225097,-0.406760666
-1.727862956,0.487450799,-0.211327675,0.284348041
1.700358188,-0.627460409,0.230642455,0.076334545
-2.212182988,-0.294870635,-0.235566051,-0.483112987
2.201371116,-0.290748473,0.199128184,0.060319253
-2.15331934,-0.178751149,-0.235792614,-0.217982544
2.223961999,-0.211353064,0.362152967,-0.399754746
-2.24856946,-0.580450315,-0.14464075,0.296123512
3.813967803,-0.19100965,0.271264292,-0.730743325
-3.939328269,-0.276644628,-0.149058435,0.6574393
3.913901933,-0.062205037,0.337756206,-0.628839049
-3.850461317,-0.345928074,-0.078993783,0.645411699
3.77649899,-0.116551329,0.072463238,-0.902922057
-3.660934615,-0.425992616,-0.137226334,1.172905633
3.599374427,-0.495422521,0.261949647,-1.416701463
-4.815152828,-0.480406998,-0.089042537,0.904921405
4.578069496,0.301161878,0.281777925,-1.237945119
-4.494289019,-0.896218057,-0.208624796,2.027424316
5.542334883,0.262250762,0.021744126,-2.574657796
-5.777520016,0.330888997,1.374688322,2.393319299
5.683885769,0.328293725,0.868332009,-1.321219815
-5.286444081,0.287921653,-0.005088687,1.779484334
5.223119498,0.237828952,-0.243385418,-1.305319592
-5.143770339,0.114820768,-0.74102992,1.237310017
4.772912908,0.408115463,0.026870331,-1.273560094
-5.260630618,-0.14595983,-0.30613429,1.284615285
5.133538772,0.428197645,-0.002993881,-1.380393882
-5.055341996,0.338272878,-0.29270751,1.529335652
3.835688579,0.036073891,0.341744786,-1.574304507
-4.259361876,-0.448438983,-0.410357401,1.536140743
4.193131957,-0.033589369,0.093303686,-1.987750834
-4.132017094,-0.31324175,-0.339140272,1.711771006
4.022043362,-0.162615839,0.234964947,-1.49396006
-3.963627597,-0.260769898,-0.225982413,0.201149378
3.845728396,-0.241734609,0.229009237,-0.138489289
-3.703609394,-0.271815595,-0.87806621,0.015793798
4.084643941,-0.324910987,1.950873478,-0.70005052
-3.126815812,-0.163342078,0.766709824,0.793957451
3.111901404,-0.621323166,0.230485665,-0.115522644
-3.019759346,-0.249912675,-0.325409462,-0.314579979
3.284016713,-0.427966863,0.207976666,-0.126058542
-2.705399334,-0.344708422,-0.708168116,-0.025767519
2.976108,-0.366013212,-0.189232895,-0.216066037
-2.749714575,-0.885863819,-0.376131737,-0.234730774
2.679588369,-0.09775629,-0.08275068,-0.686894959
-3.045529937,-0.423781183,-0.437179793,0.455449514
3.063660234,-0.322920564,0.41952823,-1.053695699
-3.014091437,-0.376447342,-0.187306558,0.84814009
2.96522611,-0.488253044,0.335603951,-1.152671385
-2.987529315,0.194399765,-0.179392213,0.668950089
2.718928985,-0.581483766,0.616665211,-0.94505015
-2.399188537,-0.304484194,-0.06038193,-0.266474522
2.370366944,-0.108114457,0.289205857,0.114261204
-2.452757497,-0.307245645,-0.200182378,-0.005529636
2.418957833,-0.30467786,-0.536694677,-0.995900808
-2.376900788,-0.48006736,-0.520275775,0.392778726
2.352590753,-0.49253725,0.115326624,-0.99939213
-1.200619846,0.110156294,0.119965805,0.469073969
1.181157742,0.140811684,0.348584771,-0.207746764
-1.371545272,0.254534043,-0.106285405,0.487718296
1.349322112,-0.007250961,0.100051138,-0.253061437
-1.354457515,0.381599807,-0.242665931,0.257690671
1.349014279,-0.330991893,-0.281047663,-0.027246657
-1.326218094,0.271073651,-0.388129864,-0.412458961
1.308884873,-0.271988482,0.148278396,0.50792659
-1.305905705,0.214279667,-0.214509786,-0.602620329
1.29182075,0.425584795,0.222747717,0.471113779
-1.284169862,-0.457864153,0.076526801,0.201523852
1.277197526,0.399434526,0.288426763,-0.30006745
-1.259225769,-0.015321196,-0.15487173,0.849366467
1.098924082,-0.017990067,0.257418538,0.116819397
-1.068724698,0.244788661,-0.16407519,0.018650771
1.016200721,0.122828342,2.229393219,0.12138094
-0.698712327,0.234135956,0.585433093,0.495412919
